Designator,Mid X,Mid Y,Rotation,Layer
AE1,156.5,-45.323,270.0,top
AE2,153.911023,-97.80779,0.0,top
BT1,150.25,-74.9,270.0,bottom
C1,138.381627,-93.242616,270.0,top
C10,149.681921,-77.094782,180.0,top
C11,144.482022,-80.286216,180.0,top
C12,150.395,-69.505,270.0,top
C13,149.145,-69.755,270.0,top
C14,156.25,-87.5,180.0,top
C15,146.25,-58.25,90.0,top
C16,156.395,-69.755,270.0,top
C17,155.395,-65.255,0.0,top
C18,147.25,-97.5,180.0,top
C19,156.0,-91.47125,270.0,top
C2,142.894561,-55.018579,180.0,top
C20,157.020822,-91.468499,90.0,top
C21,155.895,-66.505,0.0,top
C22,154.388155,-95.216644,180.0,top
C23,150.993008,-95.564505,0.0,top
C24,147.25,-99.5,0.0,top
C25,154.25,-97.72125,180.0,top
C27,154.31341,-100.235963,180.0,top
C28,144.767423,-54.389503,90.0,top
C3,131.747092,-97.936046,180.0,top
C4,129.170231,-92.447138,90.0,top
C5,131.732267,-95.942151,0.0,top
C6,131.181512,-92.453313,90.0,top
C7,141.798491,-78.138599,90.0,top
C8,149.681921,-76.133145,0.0,top
C9,151.25,-76.75,270.0,top
D1,143.75,-106.25,270.0,top
D2,145.75,-106.25,270.0,top
D3,147.75,-106.25,270.0,top
FB1,129.115,-97.115,90.0,top
J3,133.926776,-103.760139,0.0,top
J8,133.6913,-87.496215,270.0,top
L1,154.938985,-49.712967,0.0,top
L2,150.815,-65.005,180.0,top
L3,156.517022,-89.867029,180.0,top
L4,156.0,-93.89875,270.0,top
L5,156.0,-96.39875,270.0,top
L6,156.0,-98.89875,270.0,top
L7,156.0,-101.47125,270.0,top
R1,142.872072,-54.041843,180.0,top
R10,145.759462,-102.105015,90.0,top
R11,155.235148,-72.439291,0.0,top
R12,152.974335,-72.431865,0.0,top
R13,147.759462,-102.105015,90.0,top
R14,145.743549,-74.699191,0.0,top
R15,145.744657,-75.654572,180.0,top
R2,144.509334,-51.589349,270.0,top
R3,138.361918,-97.01558,90.0,top
R4,152.874671,-77.296768,0.0,top
R5,135.535858,-97.917619,180.0,top
R6,157.0,-80.25,90.0,top
R7,135.522329,-95.967676,180.0,top
R8,157.0,-84.0,270.0,top
R9,141.75,-106.25,270.0,top
SW1,142.5,-99.5,90.0,top
SW2,142.519224,-69.750085,270.0,top
U1,142.41022,-52.10447,180.0,top
U2,152.25,-56.5,90.0,top
U4,150.75,-83.0,270.0,top
U5,144.75,-78.0,180.0,top
U6,153.635,-69.755,270.0,top
U7,146.325696,-94.446174,270.0,top
U8,134.785,-91.84,0.0,top
